RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,CreditScore
0.32533033076326434,56,5,2.8064677147420136,2186,6,9,7,15,0,334
0.388677289689482,63,13,3.8846400516361275,7305,0,8,9,0,2,766
0.2713490317738959,46,3,1.024906047634082,3398,15,12,3,1,0,574
0.8287375091519293,79,12,3.6281360013720794,7995,5,18,2,13,1,486
0.3567533266935893,79,19,3.098672857165446,8299,6,5,2,13,4,542
0.28093450968738076,74,16,4.480375558972867,5182,11,3,4,0,1,563
0.5426960831582485,33,6,4.235972195167909,3230,8,2,0,15,3,821
0.14092422497476265,73,3,1.5757351956627663,7511,10,2,9,14,3,840
0.8021969807540397,27,13,1.3811866248757654,1128,9,3,2,14,0,386
0.07455064367977082,47,2,4.908266619262239,4672,0,4,5,11,3,834
0.9868869366005173,42,4,2.6363259045762826,5765,17,7,2,15,1,509
0.7722447692966574,22,15,4.532104819572184,4970,3,15,4,13,2,345
0.1987156815341724,82,19,0.819405118902411,8545,4,2,8,14,1,766
0.005522117123602399,66,3,3.2140945740008715,6552,8,11,1,14,0,839
0.8154614284548342,20,1,4.049300936802931,1627,16,7,1,18,3,325
0.7068573438476171,62,17,4.736976247932234,7589,2,12,5,7,2,565
0.7290071680409873,31,18,1.6867007050851175,3044,15,3,5,1,4,474
0.7712703466859457,47,18,3.624905849620262,3341,4,13,7,1,2,815
0.07404465173409036,85,16,2.694065045198095,6884,15,13,1,9,2,610
0.3584657285442726,35,13,0.30314463033234096,9185,2,12,8,2,1,621
0.11586905952512971,79,18,3.449998686544717,1249,19,5,1,16,4,434
0.8631034258755935,54,12,3.4504827911892173,3925,14,16,0,7,0,354
0.6232981268275579,42,11,4.653034024232685,6043,2,3,9,3,0,842
0.3308980248526492,65,5,2.486562230844862,1974,19,7,1,13,2,830
0.06355835028602363,82,3,1.1512546035525735,8192,13,16,6,9,2,455
0.3109823217156622,70,18,0.22281911724339576,3672,15,2,7,0,3,446
0.32518332202674705,32,15,2.0782109334295287,8279,16,16,4,3,4,784
0.7296061783380641,66,12,1.509583500387509,8531,19,8,5,0,2,319
0.6375574713552131,85,3,3.805441530119378,9662,17,1,0,16,3,568
0.8872127425763265,29,16,1.771338824205233,2987,17,12,5,16,4,632
0.4722149251619493,76,0,4.745355981574219,1090,13,19,7,6,0,700
0.1195942459383017,54,17,4.811551014938921,9721,17,1,2,19,3,605
0.713244787222995,78,19,3.1045429510885403,5059,14,19,0,14,4,327
0.7607850486168974,60,16,4.643301435074415,3773,14,10,3,12,3,766
0.5612771975694962,87,14,3.8042717225724783,9383,5,14,0,1,2,559
0.770967179954561,56,10,2.734298204875631,8409,14,10,7,18,1,833
0.49379559636439074,73,12,0.9015396771138906,5440,17,2,4,12,0,400
0.5227328293819941,80,0,2.2929897175692,8347,3,2,0,10,2,652
0.42754101835854963,63,16,2.804372316813088,2008,7,11,7,14,2,599
0.02541912674409519,28,5,4.319807903675051,4783,14,4,8,9,4,595
0.10789142699330445,79,3,2.4066668826783246,7646,2,19,9,8,3,652
0.03142918568673425,42,19,4.488373363389783,5298,14,6,1,8,0,429
0.6364104112637804,88,15,3.3717448951173443,5668,12,6,8,19,2,455
0.3143559810763267,69,14,0.6849953152683569,5287,8,12,7,0,4,373
0.5085706911647028,21,14,4.974906846625465,3052,1,8,6,16,0,641
0.907566473926093,76,5,2.636163303769563,7009,7,12,2,11,3,764
0.24929222914887494,89,14,1.9592914820453944,2716,19,11,1,9,2,389
0.41038292303562973,37,13,3.2955688223476325,1310,16,12,6,4,2,754
0.7555511385430487,80,10,0.5444665699051954,5538,12,9,4,17,2,631
0.22879816549162246,71,6,3.1826932337667717,2260,0,0,5,14,0,647
0.07697990982879299,74,8,2.491180002496365,4932,1,7,3,5,0,532
0.289751452913768,58,15,2.0333703499929157,1584,14,15,1,6,0,401
0.16122128725400442,20,4,4.765100105894496,8616,11,12,8,16,0,780
0.9296976523425731,23,19,2.6126985836602663,9551,13,2,2,5,4,513
0.808120379564417,22,9,1.0955873973496921,3866,1,2,6,7,1,407
0.6334037565104235,22,17,2.294817396886493,6898,17,4,7,11,4,464
0.8714605901877177,71,2,4.596937022863363,3011,6,10,1,13,2,634
0.8036720768991145,64,12,0.8804773566529733,7251,5,6,5,11,4,385
0.18657005888603584,66,10,1.0697851934411844,5939,13,9,7,9,3,723
0.8925589984899778,26,16,0.06514783878541874,5006,7,9,6,19,0,663
0.5393422419156507,37,12,0.0709502469788359,2625,1,19,2,14,3,359
0.8074401551640625,78,5,4.146958134792563,1890,16,1,0,6,3,781
0.8960912999234932,52,16,3.660613034214779,7078,4,2,5,8,2,549
0.3180034749718639,67,12,1.7752052822597912,8036,13,7,7,9,0,416
0.11005192452767676,79,18,3.4915557861378637,9923,19,10,5,9,3,844
0.22793516254194168,34,18,1.9760296315498511,4961,2,12,4,15,2,343
0.4271077886262563,20,9,4.764483979989137,3504,4,6,7,6,0,808
0.8180147659224931,49,2,4.835263407130174,9806,15,12,1,4,1,464
0.8607305832563434,30,13,1.963968879046717,4806,17,1,0,2,2,667
0.006952130531190703,85,18,4.27110953170434,7100,16,5,0,17,4,591
0.5107473025775657,31,4,3.8654452084873308,2719,10,8,3,10,0,585
0.417411003148779,28,4,1.5499996858589467,7686,16,19,5,14,3,503
0.22210781047073025,73,19,1.1601991445055297,2587,15,1,8,19,3,823
0.1198653673336828,84,16,2.291173251964169,8000,1,17,0,4,4,420
0.33761517140362796,46,9,3.906744203072031,1896,3,15,0,11,4,487
0.9429097039125192,26,4,4.800838923643727,6558,6,11,4,3,3,312
0.32320293202075523,84,3,3.8178953443328627,9469,1,6,9,14,0,499
0.5187906217433661,42,5,4.27603492509185,5647,5,6,4,8,2,755
0.7030189588951778,59,3,3.0153215308525825,3432,16,16,4,6,4,747
0.363629602379294,26,6,4.17703915421063,4904,6,12,9,9,4,370
0.9717820827209607,57,6,3.922104290017088,7837,4,10,5,12,4,429
0.9624472949421112,42,17,1.8849277096314005,2449,4,5,7,7,1,342
0.25178229582536416,22,2,2.7599515106036057,5500,19,13,2,11,0,819
0.49724850589238545,28,0,4.023765609948474,6454,15,5,8,18,0,312
0.30087830981676966,76,3,0.23028367094978186,5117,18,5,0,0,0,834
0.2848404943774676,55,5,4.04039641177915,9869,8,1,3,15,0,601
0.036886947354532795,89,8,0.8894406202451172,3028,4,19,8,16,0,826
0.6095643339798968,22,13,2.573418085607195,7845,7,14,7,17,3,414
0.5026790232288615,65,11,4.041377197779688,4758,8,16,9,10,4,759
0.05147875124998935,35,19,1.2691053907834742,6904,4,7,8,17,3,804
0.27864646423661144,87,3,1.229037196530765,5624,9,4,0,6,1,607
0.9082658859666537,54,11,2.0138219923112595,9848,1,16,8,17,2,624
0.23956189066697242,77,9,4.4732139878881725,1165,8,19,2,7,4,474
0.1448948720912231,65,6,0.002213907186039421,5591,10,0,9,5,1,813
0.489452760277563,45,2,4.506915483209674,1589,3,17,8,6,3,471
0.9856504541106007,86,13,0.7690351232080389,5524,1,14,0,9,2,801
0.2420552715115004,57,9,4.95043188033741,3821,5,4,0,10,1,633
0.6721355474058786,62,15,4.77423496519234,7509,13,6,8,12,2,583
0.7616196153287176,79,15,2.4733759479564164,8693,0,17,5,8,1,774
0.23763754399239967,75,9,2.5636012390631406,1071,17,5,3,6,3,353
0.7282163486118596,84,12,2.4077467013792715,4580,6,4,6,8,2,757
0.3677831327192532,73,5,3.177218228297613,8962,0,18,4,12,1,719
0.6323058305935795,57,11,0.45360851117465517,1268,0,9,9,2,3,708
0.6335297107608947,57,8,0.16308974170783253,3462,0,14,6,2,4,603
0.5357746840747585,50,12,0.2885146420794943,2015,3,9,7,0,3,521
0.0902897700544083,23,3,2.221826746207572,8984,3,15,7,19,3,832
0.835302495589238,36,10,1.377739696097417,1406,17,11,0,1,4,457
0.32078006497173583,57,19,3.110197811854969,8384,10,17,7,2,3,647
0.18651851039985423,76,17,4.962211446873895,7049,0,0,5,14,4,458
0.040775141554763916,76,10,1.9316158653823297,7169,9,15,3,5,4,534
0.5908929431882418,65,3,2.8692062705225667,8982,8,5,7,12,4,704
0.6775643618422824,58,17,2.0780194795366773,1985,3,2,2,0,1,556
0.016587828927856152,30,0,4.236358338609297,5485,5,1,3,19,2,346
0.512093058299281,62,6,4.5111820173111905,9901,15,1,5,18,1,512
0.22649577519793795,70,5,4.3867780610263,3618,1,12,6,0,4,778
0.6451727904094499,59,14,4.871861193396288,7289,17,8,3,1,2,786
0.17436642900499144,80,17,0.13759592570207646,7928,9,15,3,14,2,641
0.690937738102466,44,10,4.199080810727655,6368,16,4,6,13,4,823
0.3867353463005374,55,19,3.7588608651954662,5621,12,6,5,18,2,802
0.9367299887367345,77,14,1.1434720470018238,8566,17,12,7,10,2,305
0.13752094414599325,24,15,4.781600466937638,5670,12,19,0,14,1,443
0.3410663510502585,22,6,0.7408896411497273,8658,16,12,9,5,2,560
0.11347352124058907,62,9,3.397749635669542,2003,4,6,6,19,4,531
0.9246936182785628,75,11,1.1244510840795625,8504,10,9,6,8,0,569
0.877339353380981,48,13,2.1569032438703735,3466,6,14,6,4,0,746
0.2579416277151556,40,4,3.5957994847228445,2939,9,5,6,19,0,521
0.659984046034179,59,17,2.8166232101652335,2635,16,4,9,1,4,351
0.8172222002012158,27,4,2.1375091566405584,9095,14,1,9,5,0,415
0.5552008115994623,49,2,1.6316921546599361,7265,17,14,7,17,1,837
0.5296505783560065,70,4,4.198298278543952,2895,18,15,8,18,4,840
0.24185229090045168,47,16,0.7190717515740686,7524,1,18,8,8,4,318
0.09310276780589921,56,18,2.1505143826490003,2073,3,8,1,5,4,691
0.8972157579533268,48,18,4.518787858875711,6184,2,18,6,13,2,718
0.9004180571633305,19,11,4.229247752299838,3402,6,6,6,12,2,608
0.6331014572732679,29,8,2.0047088123652337,5895,17,3,3,10,2,485
0.3390297910487007,56,0,3.8155418180065412,8331,9,2,8,11,3,560
0.3492095746126609,83,17,4.115804153544296,2956,6,19,7,18,1,827
0.7259556788702394,30,3,4.444437120018149,8023,7,10,0,18,4,572
0.8971102599525771,63,9,2.72252884524614,4907,5,0,1,18,4,459
0.8870864242651173,44,6,1.022304430273559,1807,0,5,1,12,2,523
0.7798755458576239,34,0,1.2765453825196582,9378,3,10,7,13,4,555
0.6420316461542878,77,16,1.478473370208021,5827,13,0,0,17,4,479
0.08413996499504883,81,1,2.9690124040480774,5524,16,6,3,11,0,319
0.16162871409461377,52,10,0.1640481206430422,3284,19,5,9,3,4,767
0.8985541885270792,87,8,3.1802123438998415,6313,17,13,4,9,3,509
0.6064290596595899,47,6,1.82177119214116,1757,10,1,8,16,2,812
0.009197051616629648,88,16,1.4762090124482108,5887,13,3,6,3,1,357
0.1014715428660321,80,16,4.397482853640632,4854,8,10,7,11,1,392
0.6635017691080558,45,1,2.3000119779039947,4558,14,14,8,12,0,520
0.005061583846218687,77,5,0.4752652276634639,1961,11,17,6,3,1,531
0.16080805141749865,54,13,4.133733840131235,4847,9,0,4,9,1,663
0.5487337893665861,39,5,0.238206287182533,7726,18,2,4,2,2,673
0.6918951976926933,85,1,3.6337461208409834,4575,18,2,9,14,2,755
0.6519612595026005,37,0,3.8695311088533257,3418,5,6,5,1,3,387
0.22426930946055978,85,9,1.763013029644291,5198,19,0,4,16,0,319
0.7121792213475359,81,4,4.1239392813889335,2001,5,10,8,5,1,313
0.23724908749680007,34,1,2.5782970292822673,6244,7,5,2,7,3,432
0.3253996981592677,29,15,2.316468266363984,8119,0,19,2,2,0,333
0.7464914051180241,39,1,0.22701640734346273,5066,16,2,6,17,1,507
0.6496328990472147,34,9,1.4501459682445295,3845,16,18,6,0,1,498
0.8492234104941779,27,1,4.655049854426499,9849,14,1,5,15,2,454
0.6576128923003434,82,15,1.9591198164175,6316,6,17,2,6,4,377
0.5683086033354716,39,15,2.7335026027838416,1422,18,11,6,2,0,471
0.09367476782809248,67,18,2.660108394921259,7715,2,9,4,3,1,588
0.3677158030594335,31,6,2.9521554491134667,5266,10,4,6,8,0,844
0.26520236768172545,81,11,0.30665477821641307,8549,19,8,1,4,3,719
0.24398964337908358,64,14,1.8108812739936413,7316,18,1,5,18,3,306
0.9730105547524456,46,7,3.6156413694127707,3710,8,1,7,14,4,459
0.3930977246667604,53,5,1.0028012553649146,9644,9,5,0,7,1,539
0.8920465551771133,69,9,1.0178918877318022,9069,1,9,3,5,2,722
0.6311386259972629,24,2,0.05045303344512364,2657,0,17,0,17,1,835
0.7948113035416484,46,18,2.1874096330410486,3541,15,11,0,18,0,369
0.5026370931051921,28,16,4.41367190336711,7763,17,3,9,14,3,515
0.5769038846263591,50,6,0.25950471793654506,4075,16,16,7,6,0,403
0.4925176938188639,23,19,0.9555935474800131,4164,5,14,6,9,4,353
0.1952429877980445,49,3,1.5504226917137753,3053,13,5,9,5,3,629
0.7224521152615053,68,13,3.6586236828210645,9479,14,15,0,13,2,502
0.2807723624408558,75,19,3.2031779640129328,6737,13,16,1,16,3,587
0.02431596643145384,43,14,2.0797195229092753,4217,2,2,3,8,1,344
0.6454722959071678,63,7,3.7953446962918784,2447,18,9,0,18,1,497
0.17711067940704894,46,14,3.0481550582845096,7009,11,4,2,4,3,515
0.9404585843529143,21,19,4.480203998286095,1607,1,13,7,6,4,780
0.9539285770025874,30,13,4.090133745693465,5552,2,12,7,18,1,608
0.9148643902204485,56,8,1.2640680304460028,2764,17,5,7,19,1,734
0.3701587002554444,32,7,1.3571928881710011,3671,0,11,5,6,2,631
0.015456616528867428,46,16,0.6267823789619281,7519,19,7,5,1,3,326
0.9283185625877254,46,1,1.6848236285872824,4962,5,4,4,15,1,465
0.42818414831731433,49,2,4.9977195935954715,4177,4,14,8,12,4,617
0.9666548190436696,19,7,2.028755843075305,4722,0,15,3,7,0,573
0.9636199770892528,64,11,1.102442173445532,5906,18,0,9,5,3,682
0.8530094554673601,39,0,3.812414422377765,8263,0,15,6,5,2,664
0.2944488920695857,44,9,2.71235501731328,6054,15,4,0,8,1,402
0.38509772860192526,84,19,0.7480072476347627,1808,11,2,8,3,4,802
0.8511366715168569,73,2,1.9034484058043288,1725,7,19,6,10,3,672
0.31692200515627766,38,5,2.0723485776967165,8701,15,14,9,4,4,544
0.1694927466860925,64,6,3.769148502846093,2216,0,12,8,16,4,468
0.5568012624583502,76,19,0.10335684445952231,5051,3,15,6,19,2,717
0.936154774160781,23,17,1.3450982339915525,3197,9,10,1,6,3,655
0.696029796674973,36,10,2.58798150657761,3806,10,1,5,14,1,777
0.570061170089365,74,18,1.3442337122642167,9970,16,5,9,14,2,424
0.09717649377076854,86,4,3.1421702370949944,1972,6,5,3,13,1,836
0.6150072266991697,20,18,2.409337396373083,6634,11,13,2,12,0,701
0.9900538501042633,18,10,1.808551274297903,8483,6,10,1,10,4,816
0.14008401523652403,75,11,4.746043134352561,3123,11,7,5,12,0,830
0.5183296523637367,55,9,3.160797495932287,9790,14,7,7,8,4,553
0.8773730719279554,32,7,0.6497068613397061,1224,1,0,5,9,2,420
0.7407686177542044,51,8,2.8004584872169773,2814,13,6,8,3,1,331
0.697015740995268,78,3,3.903659266004505,2106,12,5,4,16,1,336
0.7024840839871093,52,4,3.5424484874639868,1124,3,7,1,13,2,641
0.35949115121975517,81,7,0.8604461464762969,4246,13,18,7,17,3,312
0.29359184426449336,42,8,4.862099995200516,3931,13,19,8,10,0,482
0.8093611554785136,41,14,2.24406822873303,3971,15,7,9,15,0,564
0.8101133946791808,29,14,0.7951250187013065,3017,6,13,3,0,1,387
0.8670723185801037,35,15,0.9009787706407396,8415,18,17,5,6,1,761
0.9132405525564713,32,13,0.4911749609454025,3415,1,15,9,9,1,345
0.5113423988609378,44,7,4.017590542174672,4096,9,8,7,8,2,691
0.5015162946871996,89,17,0.6101524716092432,2609,17,14,8,2,3,418
0.7982951789667752,77,9,0.6256262857087347,1717,16,9,4,13,0,830
0.6499639307777652,63,19,4.252358073804189,4561,4,15,5,14,4,746
0.7019668772577033,34,5,1.723020422237798,7782,11,3,3,1,2,345
0.795792669436101,70,11,0.15428952154036224,2048,5,19,4,13,0,807
0.8900053418175663,25,1,0.2594764975920544,9307,8,12,6,15,3,825
0.3379951568515358,44,6,0.7108522335194778,8905,19,4,8,6,2,302
0.375582952639944,63,15,1.0669667398784477,6578,0,6,9,3,0,327
0.093981939840869,67,2,3.325730971192027,2620,14,8,5,17,2,680
0.578280140996174,88,12,0.7866314000091412,7548,5,7,5,4,0,456
0.035942273796742086,20,2,0.59437195588536,8381,18,15,7,5,0,810
0.46559801813246016,81,17,3.8235957073813958,5780,17,5,3,6,3,632
0.5426446347075766,61,10,3.355276419299572,4792,5,15,2,14,4,413
0.2865412521282844,70,7,2.1766211072761807,3941,12,5,6,0,3,688
0.5908332605690108,41,5,2.7465488574005197,6695,0,13,4,3,0,786
0.03050024993904943,77,0,1.5599201016320925,7401,12,0,1,0,2,549
0.03734818874921442,20,0,2.4125021011768033,7197,6,8,1,10,3,614
0.8226005606596583,37,7,2.533363244913729,6450,14,12,5,17,4,538
0.3601906414112629,63,4,1.9361863558904795,9975,11,18,7,13,0,533
0.12706051265188478,32,15,4.532861053360814,9432,0,16,0,10,3,602
0.5222432600548044,42,10,0.08030932490503073,6874,14,10,5,9,3,633
0.7699935530986108,88,4,3.910856315456231,2553,3,7,1,16,3,412
0.21582102749684318,34,3,0.6219141562066216,2012,12,4,1,3,3,661
0.6228904758190003,26,5,3.987736802685997,9378,4,9,6,14,2,396
0.085347464993768,55,13,3.079559578383606,2881,1,6,9,15,4,315
0.0516817211686077,65,18,4.216390454682012,7799,0,9,0,12,4,675
0.531354631568148,77,8,0.4875716282044873,5586,15,3,5,8,0,689
0.5406351216101065,80,11,2.7949031704988703,9622,5,8,6,10,1,516
0.6374299014982066,19,10,2.5054394013109853,9430,15,13,7,10,2,698
0.7260913337226615,89,13,3.530965914816793,7447,13,1,6,5,0,559
0.9758520794625346,28,15,2.6714527594683792,3345,2,8,5,0,0,619
0.5163003483011953,81,0,2.703672835665521,1075,14,0,8,5,3,495
0.32295647294124596,89,12,2.1479797178803235,6877,2,9,2,12,1,777
0.7951861947687037,38,12,1.5441721200367042,7785,1,9,5,4,1,717
0.2708322512620742,35,1,2.411321806260961,5922,0,19,3,14,2,774
0.4389714207056361,81,3,0.5924617938420029,9090,8,2,1,17,1,843
0.07845638134226596,55,5,4.807566694915424,3330,8,5,0,19,0,530
0.02535074341545751,49,4,3.5720538181329915,5686,6,5,0,13,1,820
0.9626484146779251,28,2,4.762335583439234,2902,2,1,9,14,1,499
0.8359801205122058,62,0,1.1336369116498162,5670,17,17,2,4,4,320
0.695974206093698,50,3,4.39670510088264,8143,10,1,3,3,0,610
0.4089529444142699,58,19,4.043949922817692,3059,6,11,1,1,1,733
0.17329432007084578,25,1,3.3857620622883684,1140,8,4,0,6,1,670
0.15643704267108605,28,4,3.1251459304260285,2789,0,19,3,9,3,377
0.25024289816459533,68,2,1.5827483263393498,1016,13,6,6,15,1,841
0.5492266647061205,58,8,4.0820539248251535,1464,19,15,9,9,1,584
0.7145959227000623,34,19,2.507577307398669,5471,5,19,5,17,4,439
0.6601973767177313,63,5,0.3544578794564268,2827,6,0,5,16,0,581
0.27993389694594284,49,17,1.56431580427565,9711,9,0,8,12,2,557
0.9548652806631941,71,5,4.676485492726638,6956,6,16,1,0,0,659
0.7378969166957685,37,18,4.253401303024232,1089,1,0,3,0,3,739
0.5543540525114007,50,11,4.909528490382696,5815,3,19,4,14,0,569
0.6117207462343522,57,10,3.1399669130204906,3851,16,12,0,0,1,433
0.4196000624277899,49,1,1.23755036570206,3843,0,8,7,5,3,403
0.24773098950115746,19,14,0.8140752483843189,7543,9,14,7,12,0,394
0.3559726786512616,50,11,0.9345722030423081,6901,18,2,5,0,3,779
0.7578461104643691,47,11,0.09897829173627193,1969,14,13,4,4,2,540
0.014393488629755868,50,8,1.9534105549296958,2094,9,10,7,8,0,312
0.11607264050691624,43,1,0.9571384024977125,7124,18,11,2,16,1,446
0.04600264202175275,39,2,2.0582773022835124,8347,11,12,2,15,3,394
0.040728802318970136,83,11,4.674972159193827,4195,15,12,1,7,4,592
0.8554605840110072,55,15,2.15270104753595,2404,8,0,4,16,3,324
0.7036578593800237,63,0,4.389922484924174,7940,14,9,2,14,4,571
0.4741738290873252,32,2,3.0275238330793823,5290,16,2,2,0,1,804
0.09783416065100148,61,19,1.2356577733069596,4982,13,3,5,11,2,465
0.49161587511683236,66,1,1.779273796296057,6555,17,15,7,4,4,386
0.4734717707805657,78,8,0.41959767910714707,8954,1,7,1,5,2,790
0.17320186991001518,84,18,1.6673129679800525,5713,3,15,3,0,3,440
0.43385164923797304,23,14,3.3877047275176704,4092,17,16,6,0,1,402
0.39850473439737344,26,17,0.3605554646471759,5159,6,18,0,9,4,525
0.6158500980522165,23,10,1.0270070423901467,7308,12,14,0,9,3,593
0.6350936508676438,49,15,1.9072052070665575,8478,14,15,9,2,0,605
0.04530400977204452,58,16,4.9102476850798125,9476,0,14,6,16,3,553
0.3746126146264712,25,4,3.9243091147944007,5933,10,1,6,18,2,479
0.6258599157142364,89,11,3.6674337324605193,5926,9,10,0,10,1,339
0.5031362585800877,67,10,0.5809547826272299,4969,4,0,0,17,1,819
0.8564898411883223,79,14,3.9049794680749574,3965,15,14,3,1,3,845
0.658693631618945,79,2,3.9263440575800757,5319,10,18,4,8,0,535
0.1629344270814297,24,0,3.0055134781216415,9975,5,3,4,16,2,762
0.07056874740042984,21,19,4.951808909991859,8108,8,10,3,13,3,527
0.6424192782063156,23,15,1.6262695296227596,4939,12,4,7,3,3,782
0.026511310541621813,75,1,4.706362241209258,1044,7,2,6,16,1,729
0.5857755812734633,39,1,4.573655574782518,2810,13,12,8,16,2,321
0.9402302414249576,43,2,0.05740329874688921,5566,0,9,6,11,0,642
0.575474177875879,20,7,2.250582632374055,2909,16,10,9,19,1,339
0.3881699262065219,58,14,4.885521165257867,7364,4,17,0,17,3,472
0.6432882184423532,77,6,0.515606812040379,3581,1,1,6,2,1,738
0.45825289049151663,31,5,2.738923471916597,1691,8,6,0,10,1,478
0.5456167893159349,29,8,4.89478753520552,1931,3,8,6,17,4,432
0.9414648087765252,29,19,2.777477120529301,8910,16,9,9,3,1,650
0.38610263780077425,30,0,0.9490765148607799,7382,16,17,7,16,1,824
0.9611905638239142,42,7,2.910916150462949,4406,17,6,8,17,2,839
0.9053506419560637,62,2,1.0222028697477343,9339,15,6,2,4,1,805
0.19579113478929644,36,3,2.5985213144724213,2032,7,2,3,13,0,383
0.06936130087516545,72,14,0.37021108956174,2311,10,11,3,9,3,763
0.10077800137742665,62,5,3.027413346072023,9579,17,6,8,14,2,642
0.018221825651549728,25,14,2.583949695640791,4121,9,16,6,0,1,579
0.0944429607559284,70,2,3.7008068438073156,2873,12,0,2,15,0,562
0.6830067734163568,72,13,3.153502355793925,7781,16,4,9,10,3,465
0.07118864846022899,49,19,2.7480313426537832,4748,17,15,4,19,2,592
